Booking ID,Status,Passenger status,Passengers,Pickup ID,Dropoff ID,Actual Pickup Time,Actual Dropoff Time,Pickup_name,Pickup_latitude,Pickup_longitude,Dropoff_name,Dropoff_latitude,Dropoff_longitude
252393,Cancelled by client,Cancelled,1,55,31,2024-09-02 15:24:00,2024-09-02 15:31:00,"Kottingwoerth, Dietfurter Strasse",49.019003,11.520783,"Beilngries, Eichstaetter Strasse / Tankstelle",49.035227,11.467885
253572,Validated,Trip completed,1,55,31,2024-09-10 05:57:00,2024-09-10 06:04:00,"Kottingwoerth, Dietfurter Strasse",49.019003,11.520783,"Beilngries, Eichstaetter Strasse / Tankstelle",49.035227,11.467885
253573,Validated,Trip completed,1,55,31,2024-09-11 06:00:00,2024-09-11 06:07:00,"Kottingwoerth, Dietfurter Strasse",49.019003,11.520783,"Beilngries, Eichstaetter Strasse / Tankstelle",49.035227,11.467885
258631,Validated,Trip completed,1,55,31,2024-09-11 06:00:00,2024-09-11 06:07:00,"Kottingwoerth, Dietfurter Strasse",49.019003,11.520783,"Beilngries, Eichstaetter Strasse / Tankstelle",49.035227,11.467885
253571,Validated,Trip completed,1,55,31,2024-09-12 06:13:00,2024-09-12 06:21:00,"Kottingwoerth, Dietfurter Strasse",49.019003,11.520783,"Beilngries, Eichstaetter Strasse / Tankstelle",49.035227,11.467885
259932,Validated,Trip completed,1,55,31,2024-09-12 06:13:00,2024-09-12 06:21:00,"Kottingwoerth, Dietfurter Strasse",49.019003,11.520783,"Beilngries, Eichstaetter Strasse / Tankstelle",49.035227,11.467885
260051,Cancelled by client,Cancelled,1,55,31,2024-09-13 05:31:00,2024-09-13 05:41:00,"Kottingwoerth, Dietfurter Strasse",49.019003,11.520783,"Beilngries, Eichstaetter Strasse / Tankstelle",49.035227,11.467885
253570,Validated,Trip completed,1,55,31,2024-09-13 06:08:00,2024-09-13 06:17:00,"Kottingwoerth, Dietfurter Strasse",49.019003,11.520783,"Beilngries, Eichstaetter Strasse / Tankstelle",49.035227,11.467885
259933,Validated,Trip completed,1,55,31,2024-09-13 06:08:00,2024-09-13 06:17:00,"Kottingwoerth, Dietfurter Strasse",49.019003,11.520783,"Beilngries, Eichstaetter Strasse / Tankstelle",49.035227,11.467885
253579,Validated,Trip completed,1,55,31,2024-09-16 06:08:00,2024-09-16 06:15:00,"Kottingwoerth, Dietfurter Strasse",49.019003,11.520783,"Beilngries, Eichstaetter Strasse / Tankstelle",49.035227,11.467885
260054,Validated,Trip completed,1,55,31,2024-09-16 06:08:00,2024-09-16 06:15:00,"Kottingwoerth, Dietfurter Strasse",49.019003,11.520783,"Beilngries, Eichstaetter Strasse / Tankstelle",49.035227,11.467885
